"NPI","Provider Secondary Practice Location Address- Address Line 1","Provider Secondary Practice Location Address-  Address Line 2","Provider Secondary Practice Location Address - City Name","Provider Secondary Practice Location Address - State Name","Provider Secondary Practice Location Address - Postal Code","Provider Secondary Practice Location Address - Country Code (If outside U.S.)","Provider Secondary Practice Location Address - Telephone Number","Provider Secondary Practice Location Address - Telephone Extension","Provider Practice Location Address - Fax Number"
"1689158446","14949 US Highway 19 S Ste B","","Thomasville","GA","317923978","US","2292267888","",""
"1508346479","313 Lennon Ln Ste 100","","Walnut Creek","CA","945982460","US","9252891090","","9252891239"
"1346897774","1614 Harvard Ave NW","","Canton","OH","447031314","US","6147799739","",""
"1124537873","2316 E Meyer Blvd","","Kansas City","MO","641321136","US","8166059756","","8168172322"
"1639727951","3015 Wilson Ave","","Louisville","KY","402111969","US","5027744401","",""
"1518515568","1930 E Southern Ave","","Tempe","AZ","852827518","US","4804560719","",""
"1407404452","8512 Sinon St","","Annandale","VA","220034234","US","7038705331","",""
"1710535869","42200 Main St Apt 14A","","Temecula","CA","925905826","US","9515265965","",""
"1356999403","6730 Fort Deposit Dr","","Pensacola","FL","325265116","US","8506079519","",""
"1356999403","1272 Plata Canada Dr","","Cantonment","FL","325336319","US","8506079373","",""
"1528616679","11924 Montana Ave Apt 8","","Los Angeles","CA","900495015","US","8187302929","",""
"1235787383","3878 S E St","","Springfield","OR","974786440","US","5419131587","",""
"1134777287","2366 Maritime Dr","","Elk Grove","CA","957583639","US","9163474041","",""
"1366090318","2930 Eddy St","","Saginaw","MI","48604","US","9897539435","",""
"1306494356","6515 Holt Rd","","Nashville","TN","372116903","US","6153760034","",""
"1831747898","511 Pierce St","","Kingston","PA","187045731","US","5707143333","","5703383993"
"1831747898","511 Pierce St","","Kingston","PA","187045731","US","5707143333","","5703383993"
"1558919514","223 Faith Rd","","Salisbury","NC","281467005","US","7046377728","",""
"1811545874","7101 US Highway 19 N","","Pinellas Park","FL","337814607","US","7272050262","",""
"1720506280","400 Renaissance Ctr Ste 2600","","Detroit","MI","482431502","US","8558326727","",""
"1396053575","205 SE Spokane St Ste 300","","Portland","OR","972026487","US","5037148987","","7205980440"
"1528495033","131 Circle Way St","","Lake Jackson","TX","77566","US","9792152309","",""
"1528495033","131 Circle Way St","","Lake Jackson","TX","77566","US","9792152309","",""
"1093224438","1000 Eleven S Ste 2E","","Columbia","IL","622361079","US","6182812273","","6182810245"
"1093224438","3960 Lindell Blvd","","Saint Louis","MO","631083204","US","3146520100","","3146520125"
"1891879375","200 Trenton Rd","","Browns Mills","NJ","080151705","US","6098936611","","6097350175"
"1962875674","1600 California Dr","","Vacaville","CA","95687","US","7074486841","2973",""
"1114356573","2605 W Atlantic Ave","Suite D204","Delray Beach","FL","334454413","US","5618195822","",""
"1184053431","4925 Packard St","","Ann Arbor","MI","481081521","US","7349719781","",""
"1306275375","863 Nazareth Pike","","Nazareth","PA","180649001","US","4843733260","","4843733128"
"1407326598","75 E Santa Clara St","","San Jose","CA","951131827","US","8662022712","",""
"1386159085","23 Faith Dr","","Hazleton","PA","182029101","US","5707082525","","5707885722"
"1720419914","250 Pleasant St","","Concord","NH","033017539","US","6032277000","3939","6032277191"
"1720419914","301 E Main St","","Bay Shore","NY","117068408","US","6319683000","",""
"1295714269","1025 New Moody Ln","","LA Grange","KY","400319154","US","5022225388","","5022255610"
"1740754878","103 N Broad St","","Mankato","MN","560013519","US","5073457012","",""
"1528398617","15155 Dendinger Dr","","Covington","LA","704336867","US","9856430075","","9856430430"
"1710030275","403 Ogletree Dr","Suite 210","Livingston","TX","773519444","US","9363277799","","9363276211"
"1457322901","1 Jarrett White Rd","Tripler Army Medical Center ATTN:MCHK-QS","Tripler Amc","HI","968595001","US","8084332460","","8084331558"
"1477052777","725 Skippack Pike Ste 300","","Blue Bell","PA","194221749","US","2156284454","",""
"1235101981","10722 Baltimore Ave","","Beltsville","MD","207052138","US","3014764529","","3014764519"
"1235101981","1600 Crain Hwy S Ste 402","","Glen Burnie","MD","210616437","US","4105900700","","4107687830"
"1477694842","1000 1st Dr NW","","Austin","MN","559122941","US","5074337351","",""
"1588709646","1311 Fort Street","Suite J","Barling","AR","72923","US","4794525040","","4794525047"
"1497256556","8950 Cal Center Dr Ste 137","","Sacramento","CA","958263236","US","9169323172","",""
"1497256556","2751 Wilmington Ave","","Sacramento","CA","958201048","US","9169231789","",""
"1497256556","1901 Royal Oaks Dr Ste 201","","Sacramento","CA","958154235","US","9169231789","",""
"1740721703","339 E Maple St","","North Canton","OH","447202593","US","3304988200","",""
"1598734774","2450 Ralph Ave","","Brooklyn","NY","112345517","US","9174688449","",""
"1801152079","2737 S Broadway Ave","","Tyler","TX","757015413","US","9035310547","",""
"1821364852","1300 Jefferson Park Ave","","Charlottesville","VA","229082360","US","4349245078","","4349248118"
"1821364852","1204 W Main St","","Charlottesville","VA","229032824","US","4349826100","","4349820747"
"1346771029","2498 Perry Crossing Way Ste 210","","Plainfield","IN","461685519","US","3175202652","","8885086271"
"1831516202","600 N WOLFE STREET","NELSON 2-130","BALTIMORE","MD","212870005","US","4109551515","","4105020541"
"1679990840","1100 Reid Pkwy","","Richmond","IN","473741157","US","7659833144","","7659833038"
"1902868847","2145 5th Ave","","Oroville","CA","959655870","US","5305345394","",""
"1902868847","1350 E Main St","","Grass Valley","CA","959455208","US","5304778545","",""
"1902868847","11670 Atwood Rd","","Auburn","CA","956039522","US","5308872800","",""
"1902868821","5602 SW Lee Blvd","","Lawton","OK","735059699","US","5805314700","","5805314702"
"1063808079","164 High Street","","Greenfield","MA","013012613","US","4137732263","","4137732127"
"1265655005","124 Long Pond Rd Ste 11","","Plymouth","MA","023602664","US","5083621221","","5083625858"
"1245293935","3245 Nostrand Ave Kings Hwy Center","","Brooklyn","NY","11229","US","7186153777","","7186153481"
"1518353945","272 Congress St","","Portland","ME","041013637","US","2076622466","","2077744625"
"1528412426","2111 Laurel Bush Rd","","Bel Air","MD","210156156","US","4435128703","",""
"1356838023","403 Ogletree Dr","","Livingston","TX","773519444","US","9363273843","",""
"1770549776","300 Medical Dr","Suite 705","LaGrange","GA","302404130","US","7068850111","","7068850607"
"1174743496","31 Middle St","","Lyndonville","VT","058519215","US","8026264224","","8026265042"
"1376953539","47 New Scotland Ave","Department of Anesthesiology","Albany","NY","122083412","US","5182623095","",""
"1376953539","1540 E Hospital Dr","","Ann Arbor","MI","48109","US","7347632435","",""
"1891130407","3601 The Vanderbilt Clinic","","Nashville","TN","372320001","US","6153223000","",""
"1710398714","2120 L St NW Ste 450","","Washington","DC","200371541","US","6627195921","",""
"1073991535","1525 Oak Park Blvd","","Lake Charles","LA","706018849","US","3374946767","","3374946750"
"1073991535","2390 W Congress St","","Lafayette","LA","70506","US","3377944679","",""
"1073991535","1701 Oak Park Blvd","","Lake Charles","LA","706018911","US","3374946767","",""
"1194018564","21505 main ave n","suite B","tillamook","OR","97141","US","5033542159","",""
"1215427984","16101 Snow Rd","","Brookpark","OH","441422817","US","4402608300","",""
"1144513359","2160 S 1st Ave","","Maywood","IL","601533328","US","7082169000","",""
"1760049308","615 S College St","","Charlotte","NC","282023354","US","3474011300","",""
"1962762237","5301 Buckeystown Pike","","Frederick","MD","217048370","US","3017330330","","3017397380"
"1316359664","1200 Old York Rd","","Abington","PA","190013720","US","2154812191","","2154813411"
"1174883318","4160 S Pecos Rd Ste 17","","Las Vegas","NV","891215027","US","7023328466","",""
"1295172682","600 Roe Ave","","Elmira","NY","149051629","US","6077374100","",""
"1366000671","1542 S Bloomington St","","Greencastle","IN","461352212","US","7653017440","",""
"1225486905","185 S Orange Ave","Room F-540","Newark","NJ","071032757","US","9086163097","",""
"1346688967","53 Southview Dr","","Wayland","NY","145729716","US","5857289019","",""
"1124221254","3671 Derbyshire Rd Apt 203","","Casselberry","FL","327077231","US","3123072339","",""
"1023467115","75 Francis St","","Boston","MA","021156110","US","6177325500","",""
"1366823841","50 Glen Cove Rd","","Greenvale","NY","115481062","US","5166211982","","5166211340"
"1427462571","13723 Rivendell Crest Ln","","Cypress","TX","774290026","US","8329717066","","8324425856"
"1154616068","4801 Alberta Ave","","El Paso","TX","799052707","US","9152155700","",""
"1154616068","1201 E Schuster Ave Bldg 4","","El Paso","TX","799024672","US","9156429444","",""
"1316386386","475 Seaview Ave","","Staten Island","NY","103053436","US","7182266205","","7182268695"
"1639175557","10551 Decatur Rd","Suite 200","Philadelphia","PA","191543800","US","8006243784","",""
"1639175557","1815 Parker Ave","","West Palm Beach","FL","334017237","US","7865306543","",""
"1679988836","3300 Gallows Rd","","Falls Church","VA","220423307","US","7037764001","","7037767113"
"1487140562","58 Carroll Street","","Lebanon","VA","24266","US","2768838000","",""
"1487140562","142 Highland Dr","","Lebanon","VA","242664636","US","2768890433","","2768895537"
"1982044954","981080 Nebraska Medical Ctr","","Omaha","NE","681981080","US","4025592258","","4025595511"
"1982044954","3471 5th Ave","","Pittsburgh","PA","15213","US","4126053264","",""
"1629076047","311 Ramsey St","","Saint Paul","MN","551022323","US","6513085581","",""
"1346265279","324 Main St S","Sutie 270","Stillwater","MN","550825195","US","6513085581","",""
"1518510403","439 West River Road","","Brattleboro","VT","05301","US","8025792500","",""
"1073534434","140-15 Sanford Ave","","Flushing","NY","113552686","US","7188264000","","7188264075"
"1073534434","96-10 Metropolitan Ave","","Forest Hills","NY","113756625","US","7184590400","","7186706479"
"1760481766","4500 N Campus Ridge Dr","","Midland","MI","486406123","US","9898396188","","9898396221"
"1295177152","3709 Teays Valley Rd","","Hurricane","WV","255269645","US","3047572533","","3047572534"
"1235140062","1088 W Baltimore Pike Ste 2304","","Media","PA","190635136","US","6107442844","","6107442832"
"1881240273","9908 SR 64 East","","Bradenton","FL","342125303","US","9417478600","","9417495915"
"1881240273","6272 Lake Osprey Dr","","Lakewood Ranch","FL","342408425","US","9419072800","","9419079434"
"1588189310","5130 E Clinton Way","","Fresno","CA","937272014","US","5525322277","",""
"1710235148","66 Troy St","","Fall River","MA","027203023","US","7744885076","",""
"1821378134","961 Marcon Blvd","SUITE 312","Allentown","PA","181099521","US","9083109450","",""
"1760030746","3103 Ranch Road 1869","","Liberty Hill","TX","78642","US","5122770676","",""
"1518515576","601 E Rollins St","","Orlando","FL","328031248","US","4073035600","",""
"1790333755","650 Westerly Pkwy","","State College","PA","168014224","US","8142314159","",""
"1225686280","1135 W University Dr Ste 425","","Rochester","MI","483071897","US","2486505861","",""
"1861040842","9390 Research Blvd Ste 100","","Austin","TX","787596585","US","5123309520","",""
"1609424670","6249 Grand River Rd","","Brighton","MI","481145305","US","8108441900","",""
"1497238109","800 Poly Pl","","Brooklyn","NY","112097104","US","7188366600","1331",""
"1194076703","140 W 140th St","","New York","NY","100301807","US","2125312727","",""
"1194076703","7901 Broadway","","Elmhurst","NY","113731329","US","7183344000","",""
"1508235524","750 N Freedom Blvd","","Provo","UT","846011677","US","8013734760","","8013730639"
"1508235524","4460 S Highland Dr Ste 210","","Salt Lake City","UT","841243550","US","8889494864","","8013730639"
"1710389390","4771 Hylan Blvd","","Staten Island","NY","103126315","US","7189488200","","7184202718"
"1295826899","3024 Highway 121","","Bedford","TX","760214037","US","8174945000","","8174945001"
"1780777896","1 Medical Park","Suite 704","Wheeling","WV","260036379","US","3042433796","",""
"1982189122","3071 S Grand Ave","","Carthage","MO","648367851","US","4173109286","",""
"1548359110","300 Bayshore Road","","North Babylon","NY","117032823","US","6315862700","","6314918613"
"1548359110","640 Hawkins Ave","","Lake Ronkonkoma","NY","117792324","US","6317370100","","6314711117"
"1548359110","1991 Marcus Ave, 2nd Floor","","New Hyde Park","NY","110422057","US","5163541600","","5169414677"
"1548359110","180-05 Hillside Ave","","Jamaica","NY","114324727","US","7185266300","","7182627064"
"1548359110","6410 Veterans Ave","SUITE 102","Brooklyn","NY","112345639","US","7187637061","","7187633045"
"1548698046","2000 Old West Chester Pike","","Havertown","PA","190832712","US","4844548768","","4844548810"
"1851843916","18276 Jamestown Cir","","Northville","MI","481683516","US","2482315704","",""
"1780012138","22 S Greene St","","Baltimore","MD","212011544","US","4103285687","",""
"1619220589","6420 Clayton Rd","","Richmond Heights","MO","631171811","US","3147688000","",""
"1154402717","1802 Braeburn Dr","","Salem","VA","241537357","US","5407725970","","5407255006"
"1205348539","335 SE 8th Ave","","Hillsboro","OR","971234246","US","5036811111","",""
"1346594637","600 Lynndale Ct Ste F","","Greenville","NC","278585443","US","2523538001","",""
"1720484900","1101 E 33rd St","","Baltimore","MD","212183637","US","4105162000","",""
"1720484900","4419 Falls Rd Ste A","","Baltimore","MD","212111298","US","4436307652","",""
"1720484900","300 Armory Pl","","Baltimore","MD","212014603","US","4108563822","",""
"1881676005","837 E Orange St","","Hoopeston","IL","609421802","US","2172835530","","2172836437"
"1659814499","1806 Clear Hill Ct","","Monroe","NC","281109615","US","7047771352","",""
"1124200308","1500 Delhi St, Ste 3100","Dubuque Obstetrics & Gynecology, PC","Dubuque","IA","52001","US","5635575959","","5635575950"
"1124200308","5055 A St Ste 200","","Lincoln","NE","68510","US","4024838630","","4024838578"
"1033364344","129 S 10th St","","Paris","AR","728554007","US","4799631448","",""
"1245605914","94-07 156th Ave","Suite #200","Howard Beach","NY","11414","US","7183233773","","7183233777"
"1285979724","2127 Baypointe Dr","","Newport Beach","CA","926608518","US","9498786278","",""
"1407912199","592 Rockaway Ave","","Brooklyn","NY","112125539","US","7183455000","2223","7183466747"
