"NPI","Provider Other Organization Name","Provider Other Organization Name Type Code"
"1518423995","Ascension SE Wisconsin Hospital at Mayfair Road","5"
"1528535572","GABREAL SHAMTOUB DDS INC","3"
"1538717517","Miracle Ear Center","3"
"1548818529","My Eye Lab Garland","3"
"1548818537","Grace Health Mountain View Clinic","3"
"1588656433","Ocala Eye Surgeons","4"
"1598700528","Allina Health Mental Health - Mercy Hospital, Unity Campus","3"
"1619911179","Owatonna Behavioral Health","3"
"1649789819","Red River ER","3"
"1689222689","A List Smiles Orthodontics","3"
"1699323691","Centro Ararat Arecibo","3"
"1700434701","PIECE BY PIECE OF LAFAYETTE","3"
"1710535703","Three Rivers Community Health Dental","5"
"1780232785","Howell Chiropractic","3"
"1790286193","Telepsychiatry Services","3"
"1811545809","Honest Home Care","3"
"1861417362","Ascension SE Wisconsin Hospital-Elmbrook Campus","3"
"1912328303","Recovery in Motion, LLC","4"
"1962426122","reliable respiratory","3"
"1154812303","Ascension WI Prescription Center St. Clare's Hospital","3"
"1497171227","Shop n Save rx","3"
"1619453990","Ascension Wisconsin Prescription Center #703","3"
"1760595086","Boulder Community Hospital","3"
"1104305085","Ascension WI Prescription Center St. Mary's Hospital","3"
"1336252295","Boulder Community Hospital","3"
"1508009341","Virginia Heart","3"
"1881743417","Straith Hospital","5"
"1083262091","MTV IR Interventional Lab","3"
"1598313595","Providence Imaging Center","3"
"1164486569","Morgan County Ambulance Service","3"
"1235787243","ETS Health & Performance, LLC","3"
"1336797349","Southeastern Maternal Fetal Medicine","3"
"1134777147","Anesthesia All Ways","3"
"1013317544","All In ER Taylor","3"
"1598124786","All In Haight","3"
"1669878765","All In Glenbrook Elementary School","3"
"1841848850","CARTERS CARE SERVICES","3"
"1063854552","Silicon Valley Flex","3"
"1073987749","Lionel Wilson Prep","3"
"1083853667","Doctors Dialysis of East Los Angeles","3"
"1164070181","Xpress Pediatrics, LLC","4"
"1174171193","Prairie Hill Home Care, Inc.","5"
"1184682007","DETROIT VAMC PHARMACY","5"
"1225195787","Blanton-Peale Counseling Center","5"
"1265516462","Fayette Medical Center Swing Bed Unit","3"
"1366446767","Pullman Regional Hospital","3"
"1376191387","Brighton Gardens of Omaha","3"
"1407376072","Hoffmann Counseling Services","3"
"1417513896","Shopko Optical 4075","3"
"1417966540","Ascension All Saints Hospital","3"
"1427579291","CORA Physical Therapy - Palmer Ranch","3"
"1457798803","Leadership Public Schools San Jose","3"
"1467000471","Adams County Regional Medical Center (ACRMC) Family Medicine","3"
"1508817537","Fyzical Therapy & Balance Centers-Orlando","3"
"1538239611","Allcare Pharmacy","3"
"1548350473","Northport Medical Center - Psych","3"
"1548818560","The Dental Specialists Orthodontics Burnsville East","3"
"1558895631","BHG Berea Treatment Center","3"
"1609218197","La Escuela Popular","3"
"1639123284","Ascension All Saints Hospital","3"
"1639727662","IDx LLC","4"
"1699117184","Oakland School of the Arts","3"
"1700250479","Golden State Prep","3"
"1710396320","All In Rocketship","3"
"1710535745","Compass Chiropractic","3"
"1720480619","Valley Outpatient Services","3"
"1821074196","The Community Hospital Association","4"
"1861450744","GAINESVILLE VAMC PHARMACY","5"
"1861676439","Ascension All Saints Hospital","3"
"1891102497","Groups","3"
"1891127684","Alpha Middle School","3"
"1962050989","Brick House Recovery","4"
"1972551323","LAKE CITY VAMC PHARMACY","5"
"1982793543","Northport Medical Center - Rehab","3"
"1033668744","Pediatric Urgent Care Clinic","3"
"1083262018","When It Rains LLC","5"
"1104474139","Ascendant Management Inc","3"
"1104474139","Ascendant Management Inc","4"
"1174956106","Omega Rehabilitation and Spine","3"
"1225685332","SHIMA HADIDCHI MD A PROFESSIONAL CORP","3"
"1255325338","Texas Scripts","3"
"1265080295","Acadian Care Hammond","3"
"1386664779","Sylvan Grove Hospital","3"
"1396219309","Harps Pharmacy #189","3"
"1396393328","OVP Health","3"
"1518365428","Belvidere Dialysis","3"
"1558897751","HarpsPharmacy #179","3"
"1649824350","PEAK FEDERAL LABS","3"
"1679676159","Eltingville Pharmacy","3"
"1699323634","Accelerated Urgent Care","3"
"1750594297","Westwood Medical Group","3"
"1831747872","The Dental Specialists Burnsville East","3"
"1932130747","America's Best Contacts & Eyeglasses","3"
"1942547344","PRAIRIE DU CHIEN MEMORIAL HOSPITAL ON CALL PHYSICIANS","3"
"1972531218","HOSPITAL PAVIA ARECIBO","3"
"1013903525","Delmar Gardens of Meramec Valley","3"
"1033470034","Russell Fork Pharmacy","3"
"1063957371","J&M International Behavior Consulting","4"
"1144746470","Eye to Eye Care","3"
"1144878745","Ascension Medical Group Palliative Care","3"
"1154893600","BriovaRx of Texas","3"
"1235377615","Caris Healthcare, Columbia","3"
"1235787177","Great American Mobility","3"
"1285653493","Country Home Health","3"
"1285653493","Home Preferred Senior Care","3"
"1285956524","Sunwest Dental Prescott","3"
"1316595259","Nevada Adult Day Healthcare Centers","3"
"1346806940","Peaceful Surrounding","3"
"1356341051","Glacier Care Center","3"
"1356584544","Consultants in Womens Health, PLLC","4"
"1356999205","Laurel Bluntzer","5"
"1396975546","Porter Hills","3"
"1396975546","Valley Health Center","3"
"1437707387","Roseville Family Healthcare","3"
"1437713591","Malibu Wellness Ranch","3"
"1679121511","Carlson Orthodontics","5"
"1679615587","Sun West Dental","3"
"1679863393","Long Term Home Health Care Program","3"
"1689222622","IRI: Innovative Resources for Independence","3"
"1720454192","Wonderful Wellness Center - Delano","3"
"1750752804","Wonderful Wellness Center - Lost Hills","3"
"1780242214","Precision Behavioral & Counseling Services","4"
"1790333649","ATLANTA 2 VA CLINIC","5"
"1811452493","Wonderful School Health Center","5"
"1831755362","Avantara Arlington","3"
"1871043653","Wonderful Wellness Mobile","3"
"1922596303","BriovaRx Specialty","5"
"1952959892","Pine Knot Intermediate Healthy Kids Clinic","3"
"1982080222","Garland Shiloh Dialysis","3"
"1023666989","DOUGLAS R MAXSON DDS","5"
"1063975787","Sunny DME","3"
"1144878091","Ketchum Chiropractic","3"
"1184677080","Excel Obstetrics & Gynecology, PC","4"
"1235787102","SafeRide Health","3"
"1265470231","Wellness Enterprises Inc dba Atlas Physical Therapy","4"
"1376105452","Oyate Health Center","3"
"1386292761","DFYS Clifton Middle Sch","3"
"1396123683","Kids Care Dental and Orthodontics","3"
"1427606383","United Surgery Center-Encinitas","3"
"1437401148","Lewis and Clark Pharmacy","3"
"1467000323","Hilo Neck and Back Pain Center","4"
"1477563344","Providence Kodiak Mental Health","3"
"1518527977","Papa's Farmacia via Luzianna LLC","4"
"1528616489","Cottage Village","3"
"1558572479","Biocare Pharmacy","3"
"1588212443","STEM MED","3"
"1629545678","Sublime Wellness Center","3"
"1639137565","Vantage Point of Northwest Arkansas","3"
"1730653676","Angel Care","3"
"1831747799","Brady Dental Group, PA","3"
"1881242741","PREFERRED MEDICAL TRAMSPORT","3"
"1912555889","Perspective Gains Counseling","3"
"1912555889","Perspective Gains Counseling PLLC","3"
"1922656131","DFYS Santa Fe Computer Magnet Sch","3"
"1972978716","VICTORY HEALTH CARE SERVICES LLC","4"
"1043331358","CBHH Bemidji","3"
"1104474006","SSM Health PT","3"
"1184272072","360 Degrees Counseling and Consulting Services","3"
"1265080162","Integrity Clear Braces","3"
"1265080170","High Desert Gastroenterology","3"
"1346898236","Power Chiropractic Clinic","3"
"1346898244","AllsWell Pharmacy","3"
"1356881346","Garfield County Dialysis","3"
"1376004655","PRIME CHOICE FAMILY CLINIC URGENT CARE","3"
"1376004655","PRIME CHOICE UC PLLC","5"
"1386292282","The Box Doc","3"
"1386676799","CBHH-aLEXANDRIA","3"
"1396850145","RCG EAST LANSING","3"
"1417505314","Eunoia Psychological Services","5"
"1437622016","Storyline Counseling","3"
"1437702867","EP Lab Service","3"
"1477101376","SSM Health PT","3"
"1487202370","Miller Hill Dental","3"
"1528515996","Southside Psychiatry Clinic","3"
"1558919456","Milliken Medical Group","3"
"1669418851","CBHH-Rochester","3"
"1689235889","Vigilant Healthcare Solutions","3"
"1700434685","Power Chiropractic Clinic","3"
"1760922918","Shalom Nursing Care, Inc","4"
"1780178467","GSH NP Services","5"
"1912555814","LENSCRAFTERS #3335","3"
"1033177787","MADISON VAMC PHARMACY","5"
"1053705319","Encompass Health Home Health","3"
"1053705319","Encompass Home Health of Maryland","3"
"1073165254","Faraday Health-Chattanooga, TN","3"
"1114112125","RETINA CONSULTANTS OF Western New York, PC","3"
"1194373027","Select Physical Therapy","3"
"1205484110","Neoteric Medical LLC","3"
"1215263082","WFUBMC Endoscopy Center","3"
"1215585120","University of Texas Rio Grande Valley","4"
"1225130487","CBHH-Annandale","3"
"1245549930","VILLAGES VA CBOC PHARMACY","5"
"1265942403","Ubylee Healthcare Group","3"
"1285094813","Southern Winds","3"
"1346897584","CareTeam Health Tietex","3"
"1356999288","Country Doctor School Based Clinic","3"
"1376191205","Golden Age Healthcare Residence","3"
"1386859437","Step One Therapy","3"
"1407404320","Dental Care at Verandah","3"
"1417285404","Farmington Drugs and Medical Supplies","3"
"1477101301","Beachside Home Service","4"
"1528062387","Edelweiss Village","3"
"1528062387","German Centre for Extended Care","3"
"1528062387","Senior Place Adult Day Health","3"
"1578111480","Vantage Health System, Inc.","3"
"1578111498","Clinical Services","3"
"1629626544","Pacific Eye Group, PC","3"
"1649828575","Modern Talk","3"
"1669020582","Health First Medical Care LLC","3"
"1699738377","North Loop East Dialysis","3"
"1710535646","A-Restored Life Counseling","5"
"1720036296","TALLAHASSEE VA CLINIC PHARMACY","5"
"1962583039","CBHH-Fergus Falls","3"
"1992219091","MNPAH at Horizon Media","5"
"1992219091","NCMed of NYPC at Horizon Media","5"
"1992353825","America's Best Contacts & Eyeglasses","3"
"1992753008","JACKSONVILLE VA CBOC PHARMACY","5"
"1003306168","Aspen Valley Hospital Center for Medical Care","3"
"1003465931","California Rehabilitation & Sports Therapy Lakewood","3"
"1033177589","ROCKFORD VA CBOC PHARMACY","5"
"1033767967","PERKINS COUNTY FAMILY CLINIC","3"
"1043794506","Ticho Eye Associates","3"
"1053969980","Froedtert Pharmacy 125","3"
"1073162905","Froedtert Pharmacy 275","3"
"1093360984","Glasswater Creek of Plainfield","3"
"1124683131","KureSmart Pain Management","3"
"1144878075","Froedtert Pharmacy 150","3"
"1154984961","The Orenda Center of Wellness","3"
"1184273013","Bennett Chiropractic & Wellness","3"
"1205484136","Making Visions Assited Living Facility","3"
"1225227457","Crescent City Dialysis Center","3"
"1285135244","GLASSWATER CREEK OF LAFAYETTE","3"
"1316595242","Balentine Plaza Dental Care","3"
"1346899283","Optimum Home Health Care","3"
"1447507835","Family First Home Care Agency","4"
"1467001396","Lil's Dietary Specialty Shop","3"
"1477102309","LifeBridge Endocrinology Assocaites","3"
"1487036075","CareConnect Convenient Care","3"
"1487118220","HELLENIC SENIOR LIVING OF ELKHART","3"
"1497303325","Froedtert Pharmacy 200","3"
"1497304323","Encore Rehab of West Mobile","3"
"1497304331","The Sleep Center of Nevada-Pahrump","5"
"1508415449","Athletico Physical therapy","3"
"1538422977","CareConnect Convenient Care","3"
"1609203652","Bedford Community Dental Center","3"
"1619526555","A & R Transportation","3"
"1639730880","Novant Health Telepsychiatry","3"
"1669020590","Froedtert Pharmacy 225","3"
"1679139042","Shopko Optical 4047","3"
"1679941926","Lincoln PT","3"
"1689222515","Froedtert Pharmacy 175","3"
"1700433711","NOVANT HEALTH NEUROLOGY AND SLEEP","3"
"1710288428","CareConnect Family Dentistry","3"
"1750930699","Googe Wheelchair & Livery Service, Inc","5"
"1790333623","Froedtert Pharmacy 075","3"
"1891934899","Rite Care Pharmacy","3"
"1902262629","CareConnect OBGYN","3"
"1932212628","Harbor Crest Comprehensive Counseling Group","3"
"1982252813","froedtert Pharmacy 050","3"
"1003465964","WAGNER ORTHODONTICS","3"
"1023667987","ProCare Hospice Care","3"
"1063061927","Kadams","5"
"1073099073","Cedar Grove Assisted Living","3"
"1093364952","CONVENIENT RX LTC #3","3"
"1114417946","Berkeley Oaks","3"
"1114438553","Hellenic Senior Living of New Albany","3"
"1144874793","Navarro Discount Pharmacy #11087","3"
"1205485166","Halliburtons Care Home llc","3"
"1215592720","Wickford Village Dental, LLC","4"
"1235600412","Oasis at 56th","3"
"1255806717","Alma Matters Family Psychological Clinic","5"
"1295798338","Tokay Dialysis Center","3"
"1336689751","Day & Nigh Home Care Corp","4"
"1336798289","Hartman Advanced Practice, PLLC","3"
"1366882391","FIRSTHEALTH INFECTIOUS DISEASES","3"
"1386155729","Hellenic Senior Living of Indianapolis","3"
"1417505454","Sound Orthodontics","3"
"1417505454","Jack Hou DDS, MDS, PLLC","4"
"1427515550","Heritage Woods of Noblesville","3"
"1558757476","Good Night Medical","3"
"1578882510","Sound Orthodontics","3"
"1578882510","Jack Hou, DDS, MDS, PLLC","4"
"1639573009","Aspirus FastCare - Abbotsford","3"
"1669839437","MNPAH at Davis Polk","5"
"1720439847","Seminole Heights Chiropractic & Wellness","3"
"1770132631","Victor Medina","4"
"1770720906","Baytown Dialysis","3"
"1831672377","Gull Creek Senior Living Community","3"
"1861040800","Sound Orthodontics","3"
"1861040800","Jack Hou DDS, MSD, PLLC","4"
"1861041717","Learn and Play Therapeutic Center","5"
"1871061655","The Lodge at Summers Pointe","3"
"1881104289","Evergreen Village at Bloomington","3"
"1902808108","Nazareno Enterprises and Services LLC","4"
"1902808108","Nazareno Services Inc.","5"
"1942578422","Cleveland PD","3"
"1942859897","Ocucare","5"
"1952694994","Main Street Medical Clinic of Morton","3"
"1962965988","Claudia E. Russell, LCSW","3"
"1992257034","MNPAH at White & Case","5"
"1992257034","Marathon Health @ White & Case","5"
"1164071031","DSmith","5"
"1174000855","Clinicians Connect Care Home Health","3"
"1225687197","Eisner Health","3"
"1295070811","West Orange Dialysis","3"
"1336797620","Axis Pharmacy Northwest","3"
"1366091233","Apple Valley Care Center","3"
"1407401649","Long Life Care Management","4"
"1417506387","ComForCare Home Care Sacramento West","3"
"1447809314","DMiller","5"
"1447809322","FHC Pharmacy","3"
"1457900326","Publix Pharmacy #1627","3"
"1497214381","Magic Dentistry","3"
"1518499433","Life Forward Counseling","3"
"1639728504","Bauer Family Dental","3"
"1669498002","Northside Mental Health Ctr, Inc","4"
"1689223554","BetterNow","3"
"1750763819","IU Health Urgent Care LLC","3"
"1770961914","IPGS","5"
"1780233668","MShaw","5"
"1831748706","Hannah Grace Homes Inc.","3"
"1831748714","Windsor Cypress Gardens","3"
"1902099500","Summit Skin and Vein Care","3"
"1902956402","Back in Balance Chiropractic","3"
"1902956402","Back in Balance Wellness Center","3"
"1902956402","BIBC, P.C.","4"
"1912556895","Pediatric Dental Clinic at LeBonheur","3"
"1922657808","Axiom West","5"
"1922657899","JNitti","5"
"1952308363","Resnick Neuropsychiatric Hospital at UCLA","3"
"1952455263","LensCrafters #225","3"
"1972985935","IU Health Urgent Care LLC","3"
"1982252441","Vida ACT","3"
"1003465915","Healthy Horizons Clinic","3"
"1013258748","TGMG FCC Sun City","3"
"1043599962","Tarrant County Public Health","3"
"1063061976","Axiom East","5"
"1184273070","First Source Rx","3"
"1205006996","Tarrant County Public Health","3"
"1215496963","FYZICAL Therapy and Balance Centers","3"
"1225300056","Driftwood Dialysis","3"
"1285912998","TARRANT COUNTY PUBLIC HEALTH","3"
"1316265432","Summit Hospice","3"
"1366721375","Tarrant County Public Health","3"
"1376641738","Sierra Center for Orthopaedic Rehabilitation","3"
"1427607324","Rocky Mountain Music Therapy","3"
"1457900359","Karen S. Baker","3"
"1518430347","AMA Wellness Center Inc","3"
"1518921527","Sterling Dialysis","3"
"1538513718","All In Solutions Counseling Center Willow Grove","3"
"1538513718","Humble Beginnings PA LLC","4"
"1548819451","Grace Health Services","3"
"1578112470","Express Care by Presbyterian Medical Services","3"
"1588228811","Aragon Medical","3"
"1588228811","Jennifer Aragon","3"
"1588998462","Permian Basin Pain Management","3"
"1598314403","Well Care Pharmacy","3"
"1619526522","RI International","3"
"1649829532","MedLink Gwinnett","3"
"1750877270","Anniston Chiropractic","3"
"1760981427","Summit Home Health","3"
"1780079756","WALGREENS #15552","3"
"1811130354","Reno Orthopaedic Clinic","3"
"1811227093","Summit Therapy Group","3"
"1851679294","Tarrant County Public Health","3"
"1871519926","Buffalo Grove Dialysis","3"
"1922285147","Foot and Ankle Specialty Clinic","3"
"1962063107","Jeffrey Cross DDS","3"
"1972800555","Northside Mental Health Center Inc","4"
"1982064606","BrightStar Care of Frisco","3"
"1982253894","Passport to Behavioral Health LLC","4"
"1073092771","Terry Reilly Health Services","3"
"1073162897","GOGO NY","3"
"1174172993","Comfort Keepers","3"
"1174717045","Walgreens #9882","3"
"1215304498","KIMMY PHARMACY","3"
"1235562463","Alpha Omega PCCS, LLC","4"
"1235641887","Eisner Health","3"
"1245883776","Ready PT","3"
"1265081095","Modern Wellness Psychotherapy & Healing","3"
"1366091191","CommuniCare Family Welness Center - Unity","3"
"1376191304","Acadian Care Slidell","3"
"1407403710","Novant Health Neurology and Sleep","3"
"1427607340","Mountain States Speech Therapy, Inc.","3"
"1699324418","Visiting Angels","3"
"1700435625","ALWAYS FOR YOU HOME CARE SERVICES","3"
"1710487574","Walgreens Optical","3"
"1730547019","Eisner Health","3"
"1730547019","Eisner Pediatric and Family Medical Center","3"
"1740770015","Najem MD PLC","3"
"1912969387","Serenity Hospice & Pallative Care","3"
"1053696963","Pinnacle Senior Care","3"
"1053960815","Omni Express Health Services LLC","4"
"1073168027","My Family Doc","3"
"1093776338","Kaweah Delta Skilled Nursing Center","3"
"1235596529","Dr. Tro's Medical Weight Loss & Direct Primary Care","3"
"1235596529","PalisadesMD","5"
"1245291558","Kaweah Delta Visalia Dialysis","3"
"1245560424","Baxter Emergency Group LLC","4"
"1255627238","Oceanview Healthcare and Rehabilitation","3"
"1255627238","The Phoenix Post-Acute","3"
"1255899217","Cal-Hills Pharmacy","3"
"1376636118","Family Service Counseling & Community Resource Center","3"
"1376636118","Family Service of San Leandro","4"
"1407405251","Smiles West Van Nuys","3"
"1437227238","THE MODERN CHEMIST","3"
"1467413708","Kaweah Delta Mental Health Hospital","5"
"1467921296","DIP Home Care","3"
"1558752683","Kaweah Delta Wound Center","3"
"1568828341","AmeraHealth","3"
"1588663769","Kaweah Delta Medical Center","3"
"1700435559","Annie Burdine Nutrition","3"
"1710536552","Pill Fill Pharmacy","3"
"1730258971","Heart of the Rockies Regional Medical Center","3"
"1922656594","Medicare MTM Services","3"
"1982253738","Space City Pharmacy","5"
"1033691837","Argyll Transport","3"
"1043557853","TGMG Bayshore","3"
"1104971464","CareConnect Family Practice","3"
"1114576980","Nightingale In-Home Care","3"
"1124229307","CareConnect Family Practice and Pediatrics","3"
"1154979011","Mama Sadies Homemaker & Companionship Providers","3"
"1174172951","Chez","3"
"1174172951","Chez Joseito Catering","3"
"1194374967","Linda My Therapist","3"
"1205485075","GUNBARREL MEDICAL CENTER URGENT CARE","3"
"1285283044","Advance Infusion at Center for Joint Health","3"
"1306088059","Silver Lake Dialysis","3"
"1306239314","Harbor Hospice","3"
"1376192146","Walmart Vision Center 30-3469","3"
"1427471135","Blue Ridge Psychological Services","4"
"1487991477","TGMG FCC HEALTHPARK","3"
"1518990845","WEIS PHARMACY","3"
"1558544130","EISENHOWER CENTER","3"
"1558910315","Sunrise at North Hills","3"
"1598258865","Yorktown Center for Specialty Surgery","3"
"1639728496","MEC Family Health Center managed by QuadMed","3"
"1669028098","Community Care Family Clini Counseling Services","3"
"1679682058","Rite Aid Pharmacy 05604","3"
"1679714646","Loving Family Home Care Inc","3"
"1679962260","dba Monroe Preparatory Academy","3"
"1699064725","Med-Place Pharmacy Corporation","3"
"1710985718","Grace Healthcare Inc.","3"
"1750930525","Spring Park Dentistry","3"
"1780600577","Bassett Healthcare","3"
"1780793158","Rite Aid Pharmacy 05541","3"
"1801203245","New Lenox Home Training","3"
"1851940621","Superior Counseling","4"
"1891804324","Rite Aid Pharmacy 05603","3"
"1902967979","Custom Care Compounding Pharmacy","3"
"1932450855","CoxHealth Home Support","3"
"1114576998","US RENAL CARE LIVE OAK DIALYSIS","3"
"1124426176","TGMG FCC APOLLO BEACH","3"
"1124500335","TGH Urgent Care","3"
"1134698418","Med4Home","3"
"1134777337","Froedtert RDS 300","3"
"1164692406","Hooksett Fire Rescue Department","3"
"1184965816","TGMG FCC Riverview","3"
"1205328291","Authentic Dental Studio, Dental Office of Dr. Dao","3"
"1235546532","TGMG FCC BOYETTE","3"
"1245895549","TGMG Valrico","3"
"1396303822","Eastport Chiropractic","3"
"1407405285","Buckeye Ambulance","3"
"1407405285","Kettering Mobile Care","3"
"1417506213","Summit Foot And Ankle","3"
"1437585882","Happier Living","3"
"1437585882","The Genen Group","3"
"1437708237","Acadian Care New Orleans","3"
"1467001248","Clarity Healthcare","3"
"1467638577","City of Chelsea Fire Department","5"
"1588901482","TGMG FCC Brandon","3"
"1649722554","SGCC Enid Home-AC","5"
"1669975157","Kokopelli Eye Institute","3"
"1689739013","Highlands ARH Medical Office Pharmacy","3"
"1699182998","TGMG FCC WESLEY CHAPEL","3"
"1740261742","Good Samaritan Society - Lake Forest Village","3"
"1740334408","For Eyes","3"
"1770132565","Gail's Apothecary","3"
"1770648107","Highlands ARH Clinic Pharmacy","3"
"1891786174","Good Samaritan Society - Denton Village","3"
"1891790390","South OC Pediatric Dentistry & Orthodontics","3"
"1912556713","Joyous Ocassion LLC","3"
"1942859749","Southern Oregon Orthopedics","3"
"1962819250","TGMG FCC TRINITY","3"
"1003104183","Carolinas Hospitalist Group","3"
"1003130493","Pediatric Endocrinology & Diabetes Specialists","3"
"1003242876","ID Consultants & Infusion Care Specialists","3"
"1003288093","Carolinas HealthCare Urgent Care - Rock Hill","3"
"1013232438","The Sanger Clinic","3"
"1013359181","Klein Neurology and Sleep","3"
"1023006707","Cabarrus Family Medicine","3"
"1023250099","St. Luke's Surgical Associates","3"
"1023291960","Copperfield OB/GYN","3"
"1023328309","McAlister OBGYN Associates","3"
"1023366242","Atrium Health Weight Management","3"
"1023397874","Carolinas HealthCare Urgent Care - Belmont","3"
"1023440898","The Sanger Clinic","3"
"1023445517","NorthEast Internal & Integrative Medicine","3"
"1023455987","Levine Cancer Institute","3"
"1033546403","Development & Behavioral Pediatrics of the Carolina's","3"
"1033597224","NHRMC PG Neurology","0"
"1033637178","Levine Children's Healthy Futures Clinic","3"
"1033637178","Suburban Pediatrics","3"
"1043243637","Northcross Obstetric & Gynecologic Associates","3"
"1043441918","Cabarrus Family Medicine","3"
"1043601768","Carolinas HealthCare Urgent Care - Davidson","3"
"1043719610","Piedmont Orthopedic Specialists - Salisbury","3"
"1053550939","CHA Neurology","3"
"1053624247","The Sanger Clinic","3"
"1053635185","Charlotte Obstetric & Gynecologic Associates","3"
"1053668012","Sports Medicine and Injury Care","3"
